,Serving,Win,Service,dir_srv,Surface,isAce,count
0,Serving,Loss,2nd,Wide,Hard,False,1
1,Serving,Win,2nd,Down the T,Hard,False,1
2,Serving,Win,1st,Wide,Hard,True,1
3,Serving,Win,2nd,Body,Hard,False,1
4,Serving,Win,1st,Wide,Hard,False,1
5,Receiving,Loss,2nd,Down the T,Hard,False,1
6,Receiving,Win,2nd,Body,Hard,False,1
7,Receiving,Win,2nd,Body,Hard,False,1
8,Receiving,Win,2nd,Down the T,Hard,False,1
9,Receiving,Loss,2nd,Body,Hard,False,1
10,Receiving,Loss,1st,Down the T,Hard,False,1
11,Receiving,Loss,1st,Wide,Hard,False,1
12,Receiving,Loss,1st,Wide,Hard,False,1
13,Serving,Loss,1st,Wide,Hard,False,1
14,Serving,Loss,2nd,Body,Hard,False,1
15,Serving,Win,2nd,Down the T,Hard,False,1
16,Serving,Win,1st,Wide,Hard,False,1
17,Serving,Win,1st,Down the T,Hard,False,1
18,Serving,Win,1st,Down the T,Hard,True,1
19,Receiving,Loss,1st,Down the T,Hard,False,1
20,Receiving,Loss,1st,Down the T,Hard,False,1
21,Receiving,Loss,1st,Wide,Hard,False,1
22,Receiving,Loss,2nd,Wide,Hard,False,1
23,Serving,Win,2nd,Wide,Hard,False,1
24,Serving,Win,1st,Wide,Hard,False,1
25,Serving,Win,1st,Wide,Hard,False,1
26,Serving,Win,1st,Wide,Hard,True,1
27,Receiving,Loss,1st,Wide,Hard,True,1
28,Receiving,Loss,1st,Wide,Hard,False,1
29,Receiving,Loss,1st,Down the T,Hard,False,1
30,Receiving,Loss,2nd,Down the T,Hard,False,1
31,Serving,Win,1st,Body,Hard,False,1
32,Serving,Win,1st,Wide,Hard,False,1
33,Serving,Loss,1st,Wide,Hard,False,1
34,Serving,Win,1st,Down the T,Hard,False,1
35,Serving,Win,1st,Wide,Hard,False,1
36,Receiving,Loss,1st,Wide,Hard,False,1
37,Receiving,Loss,1st,Wide,Hard,False,1
38,Receiving,Win,2nd,Body,Hard,False,1
39,Receiving,Win,1st,Down the T,Hard,False,1
40,Receiving,Win,2nd,Down the T,Hard,False,1
41,Receiving,Loss,1st,Wide,Hard,False,1
42,Receiving,Loss,1st,Wide,Hard,False,1
43,Receiving,Loss,1st,Down the T,Hard,False,1
44,Serving,Win,1st,Wide,Hard,False,1
45,Serving,Win,1st,Wide,Hard,False,1
46,Serving,Win,2nd,Body,Hard,False,1
47,Serving,Win,1st,Down the T,Hard,True,1
49,Receiving,Loss,1st,Down the T,Hard,False,1
50,Receiving,Win,2nd,Down the T,Hard,False,1
51,Receiving,Loss,1st,Down the T,Hard,False,1
52,Receiving,Loss,1st,Wide,Hard,False,1
53,Serving,Win,2nd,Body,Hard,False,1
54,Serving,Loss,1st,Wide,Hard,False,1
55,Serving,Win,1st,Down the T,Hard,False,1
56,Serving,Win,1st,Wide,Hard,False,1
57,Serving,Win,1st,Wide,Hard,True,1
58,Receiving,Win,1st,Wide,Hard,False,1
