,index,match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stSV,2ndSV,1stIn,2ndIn,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,PtWinner,isSvrWinner,rallyCount,Date,Tournament,Round,Surface,Player 1,Player 2,Grand Slam,i_serve,i_win,is_second_service,dir_srv,rally_desc,rally_tratada,how_ended,serve_return
0,637,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,1,0,0,0,0,0-0,1 (1),1,0,,1,2,ND,4n,4f18f3s2f1f3b3n@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,6,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,1,4,f18 f3 s2 f1 f3 b3,3,@,f18
13,650,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,14,0,0,1,1,0-0,3 (1),1,0,,1,2,ND,4r37b+3m2o2b2f3w@,,,0,,1,,False,False,False,0,1,False,2,0,6,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,0,4,r37 b3 m2 o2 b2 f3,3,@,r37
14,651,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,15,0,0,1,1,0-15,3 (2),1,0,,1,2,ND,4n,5b28f3b2f3b3f2f2f3s1f1f1f3s3b3b1f2f3b3s3f1f1f1r2y1n@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,24,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,1,5,b28 f3 b2 f3 b3 f2 f2 f3 s1 f1 f1 f3 s3 b3 b1 f2 f3 b3 s3 f1 f1 f1 r2 y1,12,@,b28
33,670,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,34,0,0,3,3,30-0,7 (3),1,0,,1,2,ND,4f17f+3s3z1w#,,,0,,1,,False,False,False,1,0,False,2,0,4,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,0,4,f17 f3 s3 z1,2,#,f17
54,691,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,55,0,0,5,5,15-0,11 (2),1,0,,1,2,ND,4s37b+3b1*,,,0,,1,,False,False,True,0,0,False,2,0,4,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,0,4,s37 b3 b1,2,*,s37
66,703,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,67,1,0,0,0,30-0,13 (3),1,0,,1,2,ND,4n,5f28f3s3f+1f1h3n#,,0,0.0,0,1.0,False,False,False,1,0,False,2,0,6,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,1,5,f28 f3 s3 f1 f1 h3,3,#,f28
84,721,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,85,1,0,3,1,15-0,17 (2),1,0,,1,2,ND,6n,5f38b3b3b1f2b3d@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,6,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,1,5,f38 b3 b3 b1 f2 b3,3,@,f38
96,733,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,97,1,0,4,2,30-0,19 (3),1,0,,1,2,ND,4w,5b28f1f1f3b2f1f1f3w@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,8,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,1,5,b28 f1 f1 f3 b2 f1 f1 f3,4,@,b28
98,735,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,99,1,0,4,2,40-15,19 (5),1,0,,1,2,ND,4r38b3s3b1w@,,,0,,1,,False,False,False,0,1,False,2,0,4,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,0,4,r38 b3 s3 b1,2,@,r38
106,743,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,107,1,0,5,3,0-0,21 (1),1,0,,1,2,ND,4r27f3x@,,,0,,1,,False,False,False,0,1,False,2,0,2,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,0,4,r27 f3,1,@,r27
109,746,20221120-M-Tour_Finals-F-Novak_Djokovic-Casper_Ruud,110,1,0,5,3,30-15,21 (4),1,0,,1,2,ND,6r27f3n@,,,0,,1,,False,False,False,0,1,False,2,0,2,20221120,Tour Finals,F,Hard,Novak Djokovic,Casper Ruud,0,0,1,0,6,r27 f3,1,@,r27
130,767,20221119-M-Tour_Finals-SF-Taylor_Fritz-Novak_Djokovic,19,0,0,2,1,0-0,4 (1),1,0,,2,1,ND,4n,6b28f3w@,,0,0.0,0,1.0,False,False,False,0,1,False,1,0,2,20221119,Tour Finals,SF,Hard,Taylor Fritz,Novak Djokovic,0,0,1,1,6,b28 f3,1,@,b28
